similarity_rank,palette_rank,color_1,color_2,color_3,color_4,likes,age,similarity
64,42,#e4f9f5,#30e3ca,#11999e,#40514e,22666,10 years,0.6087614004124884
65,51,#ff9292,#ffb4b4,#ffdcdc,#ffe8e8,21633,5 years,0.6066028132663024
66,72,#b5eaea,#edf6e5,#ffbcbc,#f38ba0,19218,5 years,0.6059607480894031
67,32,#96b6c5,#adc4ce,#eee0c9,#f1f0e8,25284,3 years,0.6058549716269986
68,31,#fefcf3,#f5ebe0,#f0dbdb,#dba39a,25494,3 years,0.60199201321228
69,38,#93b5c6,#c9ccd5,#e4d8dc,#ffe3e3,24010,5 years,0.5970745257089569
70,82,#b5c0d0,#ccd3ca,#f5e8dd,#eed3d9,18259,2 years,0.5879126617341125
71,57,#f5eee6,#fff8e3,#f3d7ca,#e6a4b4,20746,2 years,0.5855166797701639
72,60,#eac7c7,#a0c3d2,#f7f5eb,#eae0da,20316,3 years,0.5770798908651757
73,15,#ffb6b9,#fae3d9,#bbded6,#61c0bf,30418,8 years,0.5763581245994436
74,3,#fff5e4,#ffe3e1,#ffd1d1,#ff9494,42110,3 years,0.5756619126617027
75,69,#ccd5ae,#e9edc9,#fefae0,#faedcd,19390,3 years,0.568764966287465
76,91,#a8e6cf,#dcedc1,#ffd3b6,#ffaaa5,17810,9 years,0.5680495302016513
77,99,#98ddca,#d5ecc2,#ffd3b4,#ffaaa7,17459,5 years,0.5671436253156954
78,16,#a8d8ea,#aa96da,#fcbad3,#ffffd2,30375,10 years,0.5606989132517322
79,74,#ffb9b9,#ffddd2,#ffacc7,#ff8dc7,19023,3 years,0.5604087563507361
80,30,#f7fbfc,#d6e6f2,#b9d7ea,#769fcd,25617,10 years,0.5482242962905837
81,64,#be9fe1,#c9b6e4,#e1ccec,#f1f1f6,20042,6 years,0.5480570368866393
82,35,#fcd8d4,#fdf6f0,#f8e2cf,#f5c6aa,24752,5 years,0.5455571467988415
83,50,#bad7df,#ffe2e2,#f6f6f6,#99ddcc,21702,8 years,0.542779515730046
84,47,#e23e57,#88304e,#522546,#311d3f,21935,10 years,0.5337573772041351
85,55,#ffcfdf,#fefdca,#e0f9b5,#a5dee5,20876,9 years,0.5230338818581031
86,52,#ffeecc,#ffddcc,#ffcccc,#febbcc,21594,3 years,0.5221913855643892
87,25,#ffe6e6,#f2d1d1,#daeaf1,#c6dce4,27374,4 years,0.5172042287380815
88,24,#fcd1d1,#ece2e1,#d3e0dc,#aee1e1,27455,5 years,0.5164696277364402
89,83,#cdf0ea,#f9f9f9,#f7dbf0,#beaee2,18239,5 years,0.5123923017300287
90,1,#e3fdfd,#cbf1f5,#a6e3e9,#71c9ce,47162,9 years,0.5087139597938988
91,4,#f9f5f6,#f8e8ee,#fdcedf,#f2bed1,41814,3 years,0.5072685534744863
92,26,#defcf9,#cadefc,#c3bef0,#cca8e9,27290,9 years,0.5044623155889626
93,86,#000000,#52057b,#892cdc,#bc6ff1,18151,5 years,0.5020008219848261
94,34,#c4dfdf,#d2e9e9,#e3f4f4,#f8f6f4,25011,3 years,0.4926027040628679
95,53,#f6f5f2,#f0ebe3,#f3d0d7,#ffefef,21278,2 years,0.48447885372537053
96,12,#b1b2ff,#aac4ff,#d2daff,#eef1ff,32992,4 years,0.4633585660884192
97,36,#212121,#323232,#0d7377,#14ffec,24629,9 years,0.4333501207989513
98,49,#0a2647,#144272,#205295,#2c74b3,21843,3 years,0.4061419724051672
99,90,#142850,#27496d,#0c7b93,#00a8cc,17827,6 years,0.40491931545955356
100,37,#000000,#3d0000,#950101,#ff0000,24108,4 years,0.3360694589348412
